is_day,cloud_cover,precipitation,mood
0,3.857524254,0.135124801,Energetic
0,17.92421912,0.002896292,Energetic
0,3.12407047,0.009207836,Energetic
0,5.153885462,0.007514415,Energetic
1,23.41901582,0.090583344,Energetic
1,14.62341655,0.080827137,Energetic
1,17.29050432,0.063366274,Energetic
1,14.55561025,0.122806585,Energetic
1,13.26722389,0.025513961,Energetic
1,11.97779834,0.058112803,Energetic
0,7.40899513,0.141083106,Energetic
1,16.55409802,0.025771673,Energetic
1,10.01863562,0.147274883,Energetic
0,18.29867294,0.058004417,Energetic
1,24.74576709,0.078654533,Energetic
0,10.11325104,0.115015904,Energetic
1,19.30435454,0.091906264,Energetic
1,6.621864874,0.110072006,Energetic
0,3.936036362,0.079465213,Energetic
1,10.1813919,0.136350983,Energetic
0,15.48786905,0.078527616,Energetic
0,7.205943312,0.087260856,Energetic
1,19.61878797,0.114288116,Energetic
1,20.58886756,0.064428811,Energetic
0,4.207373865,0.054652126,Energetic
0,1.745754833,0.061894368,Energetic
1,1.080610101,0.061211424,Energetic
0,11.47610846,0.092807462,Energetic
1,6.547855952,0.043304613,Energetic
1,10.03781556,0.092858751,Energetic
1,9.639772867,0.137718344,Energetic
0,0.359041601,0.068197387,Energetic
0,11.29907218,0.015772513,Energetic
0,18.16119338,0.053205844,Energetic
1,13.62129459,0.132206519,Energetic
0,20.24626006,0.10493073,Energetic
0,21.81178436,0.137988783,Energetic
0,23.17968177,0.011003263,Energetic
0,16.69892032,0.07407344,Energetic
0,22.74666782,0.102999463,Energetic
0,13.1269975,0.002724364,Energetic
1,16.07572999,0.128361838,Energetic
1,0.555056821,0.036654516,Energetic
0,12.69949016,0.027440979,Energetic
0,19.82568869,0.008703989,Energetic
0,22.73355429,0.132942089,Energetic
1,12.20966382,0.023328054,Energetic
0,14.37326012,0.045694867,Energetic
0,1.33147382,0.043053141,Energetic
0,4.873000764,0.08723582,Energetic
1,2.583823143,0.085893188,Energetic
1,4.048415719,0.119709877,Energetic
1,5.322445004,0.120836262,Energetic
1,12.90870648,0.078381189,Energetic
0,0.204430708,0.149255455,Energetic
1,6.001090545,0.10912887,Energetic
